id,fase,descripcion_riesgo,probabilidad,impacto,nivel_riesgo,control_existe,efectividad_control,control_descripcion,control_faltante,prioridad_control_faltante,responsable_control,plazo_control_dias,estado_semanal,fecha_actualizacion,responsable_riesgo,accion_requerida,comentario,categoria_riesgo,publicar_ciudadano,validacion_tercero,conoce_ciudadano,estimacion_ahorro_q,mejora_transparencia
R-001,F0,Solicitud incompleta repetida por falta de checklist,4,2,Medio,Si,80,Checklist digital con validación básica,Validación automática de documentos,Media,Sistemas,60,Amarillo,2026-04-28,Jefe Planificación,Implementar OCR en checklist,3 solicitudes rechazadas en abril,Operativo,Si,No,No,0,Incrementa
R-002,F0,Priorizacion politizada se salta la matriz tecnica,3,4,Alto,Si,60,Matriz ponderada publicada,Publicacion de actas del comité,Alta,Planificacion,15,Rojo,2026-04-28,Director Planificación,Convocar comité extraordinario,Caso escuela X priorizado sin criterios,Gobernanza,Si,No,No,0,Incrementa
R-003,F0,Ausencia de registro SNIP por falla del sistema,2,4,Medio,Si,70,Procedimiento manual de respaldo,Validacion diaria automatica,Media,Analista SNIP,30,Verde,2026-04-28,Analista SNIP,Monitoreo diario,Sin incidentes en 30 dias,Tecnologico,No,No,No,0,Neutro
R-004,F1,Terreno con problemas de titularidad detectados tarde,3,5,Critico,Si,90,Certificacion registral <30 dias,Alerta temprana de vencimiento,Alta,Juridica,15,Verde,2026-04-28,Asuntos Juridicos,Renovar certificaciones,3 terrenos en titulación supletoria,Legal,Si,No,Si,50000,Incrementa
R-005,F1,Terreno con pendiente mayor 1.5 porciento no detectado,3,4,Alto,Si,95,Checklist de exclusion en visita,Uso de GPS/estacion total,Media,Desarrollo,30,Verde,2026-04-25,Desarrollo Proyectos,Adquirir 2 GPS portátiles,Pendiente aprobada,Tecnico,Si,No,No,0,Incrementa
R-006,F1,Ente externo no responde en plazo,5,4,Critico,Si,30,Convenios informales,Convenio formal con plazos + silencio,Critica,Direccion,30,Rojo,2026-04-28,Director Planificación,Reunion CONRED 2026-05-03,CONRED retrasa 45 dias,Externo,Si,No,Si,250000,Critica
R-007,F1,Dictamenes externos contradictorios,2,4,Medio,No,0,No existe,Sesion de coordinacion interinstitucional,Alta,Planificacion,45,Amarillo,2026-04-20,Jefe Planificación,Crear protocolo de resolucion,Detectado en proyecto Z,Externo,Si,Potencial,No,0,Incrementa
R-008,F1,Municipalidad no emite licencia de construccion,3,4,Alto,Si,60,Oficio sellado de recibido,Escalacion a gobernacion + amparo,Media,Juridica,60,Amarillo,2026-04-28,Asesor Legal,Preparar 3 recursos de amparo,Municipio X retrasa 30 dias,Legal,Si,No,Si,0,Incrementa
R-009,F2,Personal sin capacitacion BIM,4,4,Alto,No,0,No existe,Plan de capacitacion progresiva 3 niveles,Critica,Diseño,45,Rojo,2026-04-28,Jefe Diseño,Contratar consultoria capacitacion,3 proyectos en diseño sin BIM,Talento,No,No,No,0,Neutro
R-010,F2,Modelo BIM con interferencias no detectadas,3,5,Critico,Si,40,Revision manual por pares,Clash detection automatico,Critica,Diseño,30,Rojo,2026-04-27,Supervisor BIM,Comprar licencia software clash detection,Proyecto W detecto 12 interferencias tarde,Tecnologico,Si,Potencial,No,150000,Incrementa
R-011,F2,Cambios de alcance durante diseño,4,3,Alto,Si,70,Acta de congelamiento al 60%,Sistema de control de cambios aprobado,Alta,Director Proyecto,30,Amarillo,2026-04-28,Director Proyecto,Implementar registro digital,2 cambios solicitados en abril,Operativo,Si,No,No,0,Incrementa
R-012,F2,Estudio de suelos insuficiente o mal ejecutado,3,5,Critico,Si,85,Laboratorio acreditado,Supervision independiente de muestras,Alta,Desarrollo,45,Verde,2026-04-20,Jefe Desarrollo,Crear panel de laboratorios preaprobados,Ningun incidente en 2026,Tecnico,Si,Sí,No,100000,Incrementa
R-013,F2,Falta de acceso a informacion base,4,4,Alto,Si,50,Solicitud formal a entes 15 dias,Base de datos centralizada de planos,Alta,Diseño,60,Amarillo,2026-04-28,Jefe Diseño,Digitalizar planos historicos,50 establecimientos en espera,Tecnologico,Si,No,No,0,Incrementa
R-014,F3,Catalogo de costos desactualizado,4,4,Alto,No,0,Actualizacion anual,Revision trimestral con investigacion,Critica,Costos,30,Rojo,2026-04-28,Jefe Costos,Actualizar Q2 antes 2026-05-07,Ultima actualizacion diciembre 2025,Financiero,No,No,No,0,Neutro
R-015,F3,Sobreprecio por falta de cotizaciones,3,4,Alto,Si,60,Minimo 3 cotizaciones,Base historica de precios de proyectos,Alta,Analista Costos,45,Amarillo,2026-04-25,Analista Costos,Crear repositorio de precios,Proyecto V sobreprecio 12,Financiero,Si,No,No,200000,Incrementa
R-016,F3,Desplazamiento cambiario en materiales,3,3,Medio,Si,70,Clausula de ajuste en contrato,Factor contingencia cambiaria 3-5,Media,Director Financiero,30,Verde,2026-04-28,Director Financiero,Monitoreo semanal tipo de cambio,Acero +8 en Q1 2026,Financiero,Si,No,No,0,Neutro
R-017,F3,Costeo sobre diseño preliminar difiere del final,3,4,Alto,Si,65,Fast tracking controlado al 70,Tolerancia maxima 10 con ajuste,Alta,Jefe Costos Diseño,30,Amarillo,2026-04-20,Jefe Costos,Mejorar comunicacion equipos,Proyecto U variacion 14,Operativo,Si,No,No,0,Incrementa
R-018,F4,Impugnacion de bases por oferente,3,4,Alto,Si,75,Revision juridica previa,Respuesta publica a consultas en plataforma,Alta,Jefe Eventos,30,Amarillo,2026-04-28,Jefe Eventos,Estandarizar respuestas a FAQ,2 impugnaciones en 2026,Legal,Si,No,No,50000,Incrementa
R-019,F4,Solo un oferente en licitacion,3,4,Alto,Si,60,Analisis precios vs catalogo,Difusion ampliada en plataformas,Media,Comite Contratacion,45,Verde,2026-04-28,Comite Contratacion,Revisar bases para atraer mas oferentes,Proyecto T unica oferta aceptable,Operativo,Si,No,No,0,Neutro
